component,path,category,palette_status,storybook_priority,notes
Button,client/src/components/ui/button.tsx,primitive,on-system,P0,elevate hover system; variants primary/secondary/outline/ghost
Input,client/src/components/ui/input.tsx,primitive,on-system,P0,h-12 touch minimum on forms
Card,client/src/components/ui/card.tsx,primitive,on-system,P0,Layer-1 white + frost hairline; no default shadow
Badge,client/src/components/ui/badge.tsx,primitive,on-system,P0,semantic status colors only outside ramp
Progress,client/src/components/ui/progress.tsx,primitive,on-system,P0,funnel progress bar consumer
Dialog,client/src/components/ui/dialog.tsx,primitive,on-system,P0,
Select,client/src/components/ui/select.tsx,primitive,on-system,P0,
Form,client/src/components/ui/form.tsx,primitive,on-system,P0,react-hook-form + zod resolver wrapper
Toast,client/src/components/ui/toast.tsx,primitive,off-palette,P0,roadmap #19 — sweep to semantic tokens
Tabs,client/src/components/ui/tabs.tsx,primitive,on-system,P1,
Table,client/src/components/ui/table.tsx,primitive,on-system,P1,tabular-nums for financial columns
Skeleton,client/src/components/ui/skeleton.tsx,primitive,on-system,P1,use animate-skeleton-precision variant
Accordion,client/src/components/ui/accordion.tsx,primitive,on-system,P2,
Alert,client/src/components/ui/alert.tsx,primitive,on-system,P1,
Avatar,client/src/components/ui/avatar.tsx,primitive,on-system,P2,
Checkbox,client/src/components/ui/checkbox.tsx,primitive,on-system,P1,consent gates consumer — a11y critical
Sheet,client/src/components/ui/sheet.tsx,primitive,on-system,P2,
Sidebar,client/src/components/ui/sidebar.tsx,primitive,on-system,P1,Deep Ink container
Slider,client/src/components/ui/slider.tsx,primitive,on-system,P2,calculator consumer
Switch,client/src/components/ui/switch.tsx,primitive,on-system,P2,
Tooltip,client/src/components/ui/tooltip.tsx,primitive,on-system,P1,
Popover,client/src/components/ui/popover.tsx,primitive,on-system,P2,
DropdownMenu,client/src/components/ui/dropdown-menu.tsx,primitive,on-system,P2,
Command,client/src/components/ui/command.tsx,primitive,on-system,P2,
Collapsible,client/src/components/ui/collapsible.tsx,primitive,on-system,P3,
ScrollArea,client/src/components/ui/scroll-area.tsx,primitive,on-system,P3,
Separator,client/src/components/ui/separator.tsx,primitive,on-system,P3,
Textarea,client/src/components/ui/textarea.tsx,primitive,on-system,P2,
Label,client/src/components/ui/label.tsx,primitive,on-system,P1,
Toaster,client/src/components/ui/toaster.tsx,primitive,on-system,P2,
Navigation,client/src/components/Navigation.tsx,shell,on-system,P0,sticky h-16; persistent Get Pre-Approved CTA
Footer,client/src/components/Footer.tsx,shell,on-system,P1,NMLS/equal-housing disclosure slot
PageShell,client/src/components/PageShell.tsx,shell,on-system,P1,
MobileBottomNav,client/src/components/MobileBottomNav.tsx,shell,on-system,P1,safe-area-bottom consumer
AppSidebar,client/src/components/app-sidebar.tsx,shell,off-palette,P1,roadmap sweep
PublicLayout,client/src/components/layouts/PublicLayout.tsx,shell,on-system,P1,
PrivateLayout,client/src/components/layouts/PrivateLayout.tsx,shell,on-system,P1,
JourneyTracker,client/src/components/JourneyTracker.tsx,borrower,off-palette,P0,roadmap #15 — center of borrower dashboard
HomeReadinessPassport,client/src/components/HomeReadinessPassport.tsx,borrower,off-palette,P0,roadmap #13 — legacy emerald/amber/sky badges
TrustLayer,client/src/components/TrustLayer.tsx,trust,off-palette,P0,roadmap #19 — trust badges must look trustworthy
AffordabilityBadge,client/src/components/AffordabilityBadge.tsx,borrower,off-palette,P1,roadmap #19
NotificationsPanel,client/src/components/NotificationsPanel.tsx,borrower,off-palette,P1,roadmap #19
BorrowerRequests,client/src/components/BorrowerRequests.tsx,borrower,off-palette,P1,roadmap #19
DealTeam,client/src/components/DealTeam.tsx,borrower,off-palette,P2,roadmap #19
DealTeamManagement,client/src/components/DealTeamManagement.tsx,staff,on-system,P2,
UploadDocumentDialog,client/src/components/UploadDocumentDialog.tsx,borrower,off-palette,P1,security reassurance copy lives here
BorrowerPackageView,client/src/components/BorrowerPackageView.tsx,staff,off-palette,P2,
PredictionInsights,client/src/components/borrower/PredictionInsights.tsx,borrower,off-palette,P2,
ConsentGateCard,client/src/components/ConsentGateCard.tsx,compliance,on-system,P0,FCRA/ESIGN gates — never restyle copy without compliance check
PresalesDisclaimer,client/src/components/PresalesDisclaimer.tsx,compliance,on-system,P1,
ConversionCTA,client/src/components/ConversionCTA.tsx,acquisition,on-system,P1,
EmailCaptureModal,client/src/components/EmailCaptureModal.tsx,acquisition,on-system,P1,commitment-device entry point
SocialLoginButtons,client/src/components/SocialLoginButtons.tsx,auth,on-system,P1,
ApplicationSwitcher,client/src/components/ApplicationSwitcher.tsx,borrower,on-system,P2,
AddressInput,client/src/components/AddressInput.tsx,form,on-system,P1,
TermTooltip,client/src/components/TermTooltip.tsx,education,on-system,P1,glossary consumer (lib/glossary.ts)
RatePageHeader,client/src/components/RatePageHeader.tsx,acquisition,on-system,P2,
ReferralLink,client/src/components/ReferralLink.tsx,partner,on-system,P2,
SEOHead,client/src/components/SEOHead.tsx,infra,on-system,P3,
PropertyMap,client/src/components/PropertyMap.tsx,property,on-system,P2,
StreetView,client/src/components/StreetView.tsx,property,on-system,P3,
StaffSignalsPanel,client/src/components/StaffSignalsPanel.tsx,staff,on-system,P2,
VerificationPulse,client/src/funnel/VerificationPulse.tsx,funnel,on-system,P1,calm loading during soft pull
FunnelContext,client/src/funnel/FunnelContext.tsx,funnel,on-system,P0,state machine host — document not restyle
