pdf_page	section
4	Table of Contents
151	A4-1-01, Maintaining Seller/Servicer Eligibility (08/05/2026)
268	B2-3-03, Special Property Eligibility and Underwriting Considerations: Leasehold Estates (08/05/2026)
496	B3-5.3-09, DU Credit Report Analysis (08/05/2026)
523	B3-6-05, Monthly Debt Obligations (08/05/2026)
639	B4-2.1-01, General Information on Project Standards (08/05/2026)
650	B4-2.1-02, Waiver of Project Review (08/05/2026)
652	B4-2.1-03, Ineligible Projects (08/05/2026)
674	B4-2.2-01, Full Review Process (08/05/2026)
683	B4-2.2-02, Full Review: Additional Eligibility Requirements for Units in New and Newly Converted Condo Projects (08/05/2026)
689	B4-2.2-04, Project Eligibility Review Service (PERS) (08/05/2026)
698	B4-2.3-01, Eligibility Requirements for Units in PUD Projects (08/05/2026)
754	B5-3.2-05, HomeStyle Renovation Mortgages: Completion Certification (08/05/2026)
755	B5-3.2-06, HomeStyle Renovation: Renovation Contract, Renovation Loan Agreement, and Lien Waiver (12/11/2024)
758	B5-3.3-01, HomeStyle Refresh for Improvements on Existing Properties (08/05/2026)
793	B5-5.2-02, Loans with Resale Restrictions: Eligibility, Collateral and Delivery Requirements (08/05/2026)
873	B7-3-02, Property Insurance Requirements for One-to Four-Unit Properties (08/05/2026)
875	B7-3-03, Master Property Insurance Requirements for Project Developments (08/05/2026)
882	B7-3-04, Property Insurance Requirements for Individual Units in a Project Development (08/05/2026)
884	B7-3-05, Additional Insurance Requirements (12/14/2022)
895	B7-3-07, Evidence of Property Insurance (08/05/2026)
900	B7-4-01, General Liability Insurance Requirements for Project Developments (08/05/2026)
901	B7-4-02, Fidelity/Crime Insurance Requirements for Project Developments (08/05/2026)
1021	C3-6-01, Parameters for Pooling Loans Into Fannie Majors (08/05/2026)
1110	E-2-04, Signature Requirements for Mortgages to Inter Vivos Revocable Trusts (08/05/2026)
